MIB_STEPS_V1
step	action	choose_rng	turn	floor	rng	map	player	inventory	mobs	items
-1	START	758118010	0	1	758118010	26eaf77c387ea2eb	51;23;20;20;12;12;12;12;12;12;1;0;20;0;;36;2400;unencumbered;-;0;0;1;0;0;0;1;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|arquillian battle plate;48;22;0;0;0;1;-;0;12|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
0	command:y:collect nearby useful item	446477789	1	1	446477789	26eaf77c387ea2eb	50;22;20;20;12;12;12;12;12;12;1;0;20;0;;36;2400;unencumbered;-;0;0;1;0;0;0;1;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|arquillian battle plate;48;22;0;0;0;1;-;0;12|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
1	command:h:collect nearby useful item	1310547126	2	1	1310547126	26eaf77c387ea2eb	49;22;20;20;12;12;12;12;12;12;1;0;20;0;;36;2399;unencumbered;-;0;0;1;0;0;0;1;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|arquillian battle plate;48;22;0;0;0;1;-;0;12|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
2	command:h:collect nearby useful item	843971397	3	1	843971397	26eaf77c387ea2eb	48;22;20;20;12;12;12;12;12;12;1;0;20;0;;36;2399;unencumbered;-;0;0;1;0;0;0;1;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
3	wear:arquillian battle plate:equip armor	759301468	4	1	759301468	26eaf77c387ea2eb	48;22;20;20;12;12;12;12;12;12;1;0;20;0;;36;2398;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
4	command:h:seek stairs	797364354	5	1	797364354	26eaf77c387ea2eb	47;22;20;20;12;12;12;12;12;12;1;0;20;0;;36;2398;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
5	command:b:seek stairs	1312122239	6	1	1312122239	26eaf77c387ea2eb	46;23;20;20;12;12;12;12;12;12;1;0;20;0;;36;2397;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
6	command:h:seek stairs	341156538	7	1	341156538	26eaf77c387ea2eb	45;23;20;20;12;12;12;12;12;12;1;0;20;0;;36;2397;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
7	command:h:seek stairs	1748979609	8	1	1748979609	26eaf77c387ea2eb	44;23;20;20;12;12;12;12;12;12;1;0;20;0;;36;2396;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
8	command:h:seek stairs	2085181357	9	1	2085181357	26eaf77c387ea2eb	43;23;20;20;12;12;12;12;12;12;1;0;20;0;;36;2396;unencumbered;-;0;0;1;0;0;0;5;0,0,0,0,0,0,0	noisy cricket;0;0;0;0;0;1;-;0;1|black suit;0;0;0;0;0;1;-;0;4|ration;0;0;2;0;0;1;-;0;4|battery;0;0;10;0;0;1;-;0;1|neuralyzer charge;0;0;0;0;0;1;-;0;1|arquillian battle plate;48;22;0;0;0;1;-;0;12	juvenile worm guy;19;12;4;4;0.7104999999999999;4;0;0;0;0;0;0;0;-1;-1;0;0;|refugee grub;37;8;6;6;1.015;3;0;1;0;0;0;0;0;-1;-1;0;0;|juvenile refugee grub;14;9;4;4;0.7104999999999999;3;0;0;0;0;0;0;0;-1;-1;0;0;|juvenile worm guy;29;10;4;4;0.7104999999999999;4;0;1;0;0;0;0;0;-1;-1;0;0;	bone spur;24;25;0;0;0;0;-;0;2|bone spur;26;32;0;1;0;0;-;0;2|bullet clip;17;32;12;0;0;1;-;0;1|ration;18;13;0;0;0;1;-;0;2
