MIB_STORED_GAMES_V1
class	seed	won	dead	floor	deepest	turns	score	hp	waste
a	1701000	1	1	15	15	832	8319	48/48	0
a	1701001	1	1	15	15	647	8748	48/48	0
a	1701002	1	1	15	15	689	8243	58/58	0
a	1701003	1	1	15	15	966	8281	57/57	37
a	1701004	1	1	15	15	731	8375	61/61	0
a	1701005	1	1	15	15	1003	8418	43/43	11
a	1701006	1	1	15	15	774	8389	50/50	0
a	1701007	1	1	15	15	650	8304	58/58	0
a	1701008	1	1	15	15	680	8623	58/58	7
a	1701009	1	1	15	15	768	8458	56/56	0
a	1701010	1	1	15	15	879	8486	53/53	0
a	1701011	1	1	15	15	1124	8144	42/42	72
a	1701012	1	1	15	15	692	8316	51/51	0
a	1701013	1	1	15	15	734	8303	58/58	0
a	1701014	1	1	15	15	748	8127	54/54	0
a	1701015	0	1	11	13	1410	2856	-5/38	0
a	1701016	1	1	15	15	765	8570	67/67	0
a	1701017	1	1	15	15	759	8274	51/51	0
a	1701018	1	1	15	15	918	8629	39/39	0
a	1701019	1	1	15	15	829	8160	57/57	0
a	1701020	1	1	15	15	721	8112	44/44	0
a	1701021	1	1	15	15	805	8574	57/57	0
a	1701022	1	1	15	15	715	8169	51/51	0
a	1701023	1	1	15	15	1110	8678	53/53	0
a	1701024	1	1	15	15	849	8062	53/53	0
a	1701025	1	1	15	15	753	8301	55/55	0
a	1701026	1	1	15	15	810	8618	57/57	0
a	1701027	1	1	15	15	819	8217	51/51	0
a	1701028	1	1	15	15	709	8415	55/55	0
a	1701029	1	1	15	15	649	8538	49/49	0
a	1701030	1	1	15	15	691	8439	56/56	0
a	1701031	1	1	15	15	946	8523	48/48	0
a	1701032	1	1	15	15	562	8211	59/59	0
a	1701033	1	1	15	15	554	7985	40/40	0
a	1701034	1	1	15	15	965	8066	50/50	0
a	1701035	1	1	15	15	968	8496	52/52	0
a	1701036	1	1	15	15	822	8369	53/53	0
a	1701037	1	1	15	15	841	8532	55/55	0
a	1701038	1	1	15	15	979	7850	42/42	0
a	1701039	1	1	15	15	810	8212	47/47	0
a	1701040	1	1	15	15	710	8421	52/52	0
a	1701041	1	1	15	15	744	8564	56/56	0
a	1701042	1	1	15	15	785	8608	64/64	0
a	1701043	1	1	15	15	651	8338	46/46	0
a	1701044	1	1	15	15	971	8733	40/40	0
a	1701045	1	1	15	15	1315	8604	51/51	0
a	1701046	1	1	15	15	1026	8286	54/54	4
a	1701047	1	1	15	15	943	8280	44/44	0
a	1701048	1	1	15	15	643	8428	45/45	0
a	1701049	1	1	15	15	747	8488	41/41	0
a	1701050	1	1	15	15	695	8135	49/49	0
a	1701051	1	1	15	15	931	8045	54/54	0
a	1701052	1	1	15	15	773	8348	56/56	0
a	1701053	1	1	15	15	773	8078	47/47	0
a	1701054	1	1	15	15	702	8138	46/46	0
a	1701055	1	1	15	15	1126	8229	49/49	0
a	1701056	1	1	15	15	966	8434	52/52	0
a	1701057	1	1	15	15	1072	8750	52/52	0
a	1701058	1	1	15	15	855	8080	46/46	0
a	1701059	1	1	15	15	885	8850	48/48	0
a	1701060	1	1	15	15	1321	8271	51/51	0
a	1701061	1	1	15	15	827	8380	51/51	0
a	1701062	1	1	15	15	830	8276	46/46	0
a	1701063	1	1	15	15	763	8625	40/40	3
a	1701064	1	1	15	15	714	8286	60/60	0
a	1701065	1	1	15	15	949	8914	61/61	0
a	1701066	1	1	15	15	781	8566	55/55	0
a	1701067	0	0	13	13	1065	2833	53/53	92
a	1701068	1	1	15	15	1004	8623	42/42	10
a	1701069	1	1	15	15	867	8639	53/53	2
a	1701070	1	1	15	15	905	8368	43/43	0
a	1701071	1	1	15	15	756	8354	48/48	0
a	1701072	1	1	15	15	610	8123	61/61	0
a	1701073	1	1	15	15	644	8469	47/47	0
a	1701074	1	1	15	15	817	8507	46/46	0
a	1701075	1	1	15	15	993	8293	56/56	0
a	1701076	1	1	15	15	914	8154	58/58	0
a	1701077	1	1	15	15	856	8487	45/45	0
a	1701078	1	1	15	15	876	8477	55/55	0
a	1701079	1	1	15	15	747	8459	58/58	0
a	1701080	1	1	15	15	725	8215	50/50	0
a	1701081	1	1	15	15	904	8045	61/61	5
a	1701082	1	1	15	15	898	8499	63/63	2
a	1701083	1	1	15	15	968	8222	48/48	0
a	1701084	1	1	15	15	833	8637	55/55	0
a	1701085	1	1	15	15	803	8360	56/56	0
a	1701086	1	1	15	15	1044	8783	55/55	0
a	1701087	1	1	15	15	718	8252	56/56	0
a	1701088	1	1	15	15	784	8657	61/61	0
a	1701089	1	1	15	15	756	8538	47/47	0
a	1701090	1	1	15	15	837	8469	52/52	0
a	1701091	1	1	15	15	991	8498	54/54	0
a	1701092	1	1	15	15	697	8464	48/48	0
a	1701093	1	1	15	15	567	8339	49/49	0
a	1701094	1	1	15	15	722	8717	42/42	0
a	1701095	1	1	15	15	690	8349	50/50	0
